Report,CountIfs,Acronym,Description
SR1.5,1,UNRISD,United Nations Research Institute for Social Development
SR1.5,1,UNSCEAR,United Nations Scientific Committee on the Effects of Atomic Radiation
SR1.5,1,UNU,United Nations University
SR1.5,1,UNU-EHS,United Nations University – Institute for Environment and Human Security
SR1.5,5,USD,United States Dollars
SR1.5,4,UV,Ultraviolet
SR1.5,1,VISIT,Vegetation Integrative Simulator for Trace Gases
SR1.5,2,VKT,Vehicle Kilometres of Travel
SR1.5,1,VOCs,Volatile Organic Compounds
SR1.5,2,w/,With
SR1.5,2,w/o,Without
SR1.5,1,w.r.t.,With respect to
SR1.5,3,W,Watts
SR1.5,3,WAF,West Africa
SR1.5,4,WAIS,West Antarctic Ice Sheet
SR1.5,1,WAS,West Asia
SR1.5,3,WBCSD,World Business Council for Sustainable Development
SR1.5,1,WBGU,Wissenschaftlicher Beirat der Bundesregierung Globale Umweltveränderungen (German Advisory Council on Global Change)
SR1.5,1,WBM,Water Balance Model
SR1.5,1,WCED,World Commission on Environment and Development
SR1.5,3,WCRP,World Climate Research Programme
SR1.5,2,WEC,World Energy Council
SR1.5,3,WEF,Water-Energy-Food or World Economic Forum
SR1.5,1,WEM,World Energy Model
SR1.5,3,WEO,World Energy Outlook
SR1.5,3,WFP,World Food Programme
SR1.5,5,WGI,IPCC Working Group I
SR1.5,5,WGII,IPCC Working Group II
SR1.5,4,WGIII,IPCC Working Group III
SR1.5,6,WHO,World Health Organization
SR1.5,3,WIM,Warsaw International Mechanism for Loss and Damage
SR1.5,1,WIO,West Indian Ocean
SR1.5,1,WITCH,World Induced Technical Change Hybrid Model
SR1.5,1,WMGHGs,Well-Mixed Greenhouse Gases
SR1.5,5,WMO,World Meteorological Organization
SR1.5,2,WNA,West North America
SR1.5,1,WRF,Weather Research and Forecasting
SR1.5,1,WSA,West Coast South America
SR1.5,1,WSDI,Warm Spell Duration Index
SR1.5,3,WTO,World Trade Organization
SR1.5,2,yr,Year
SR1.5,2,ZEC,Zero Emissions Commitment
SRCCL,1,3-NOP,3-Nitrooxypropanol
SRCCL,1,A/F,Afforestation/Reforestation
SRCCL,1,ABC,Low Carbon Agriculture Plan
SRCCL,1,ABM,Agent-Based Model
SRCCL,3,ADB,Asian Development Bank
SRCCL,2,AerChemMIP,Aerosol Chemistry Model Intercomparison Project
SRCCL,6,AFOLU,"Agriculture, Forestry and Other Land Use"
SRCCL,2,AgMIP,Agricultural Model Intercomparison and Improvement Project
SRCCL,1,AGRA,Alliance for a Green Revolution in Africa
SRCCL,4,AI,Aridity Index
SRCCL,4,AMO,Atlantic Multi-decadal Oscillation
SRCCL,4,AR,Afforestation and Reforestation
SRCCL,7,AR5,Fifth Assessment Report
SRCCL,3,ARC,Africa Risk Capacity
SRCCL,1,ARM,Adaptive Risk Management
SRCCL,2,ASF,Animal Sourced Foods
SRCCL,2,AVHRR,Advanced High Resolution Radiometer
SRCCL,1,AWD,Alternate Wetting and Drying
SRCCL,1,BAPEN,British Association for Parenteral and Enteral Nutrition
SRCCL,3,BAU,Business as Usual
SRCCL,6,BC,Biochar / Black Carbon
SRCCL,2,BCR,Benefit Cost Ratio
SRCCL,3,BE,Bioenergy
SRCCL,7,BECCS,Bioenergy with Carbon Capture and Storage
SRCCL,1,BEFM,Bio-Economic Farm Model
SRCCL,1,BEST,Berkeley Earth Surface Temperature
SRCCL,1,BPE,Biomass Production Efficiency
SRCCL,2,BrC,Brown Carbon
SRCCL,1,BTV,Blue-Tongue Virus
SRCCL,2,BUR,Biannual Update Report
SRCCL,3,BVOC,Biogenic Volatile Organic Compounds
SRCCL,2,C,Carbon
SRCCL,4,CA,Conservation Agriculture
SRCCL,1,CABI,Centre for Agriculture and Bioscience International
SRCCL,1,CACILM,Central Asian Countries Initiative for Land Management
SRCCL,1,CAFO,Concentrated Animal Feeding Operations
SRCCL,1,CAMPA,Compensatory Afforestation Management and Planning Authority
SRCCL,1,CATDDO,Catastrophe Risk Deferred Drawdown Option
SRCCL,6,CBA,Community-based Adaptation/Cost Benefit Analysis
SRCCL,5,CBD,United Nations Convention on Biodiversity
SRCCL,2,CC,Carbon Capture
SRCCL,6,CCS,Carbon dioxide Capture and Storage / Carbon Capture and Storage
SRCCL,2,CCA,Climate Change Adaptation
SRCCL,2,CCAFS,"CGIAR Research Program on Climate Change, Agriculture and Food Security"
SRCCL,2,CCN,Cloud Condensation Nuclei
SRCCL,4,CCRIF,Caribbean Catastrophe Risk Insurance Facility
SRCCL,5,CCU,Carbon Capture and Usage
SRCCL,4,CDM,Clean Development Mechanism
SRCCL,2,CDP,Carbon Disclosure Project
SRCCL,7,CDR,Carbon Dioxide Removal
SRCCL,3,CEA,Cost Effectiveness Analysis
SRCCL,2,CEC,Commission of the European Communities
SRCCL,1,ÇEMGM,Conservation Reserve Program
SRCCL,1,CEN-SAD,The Community of Sahel-Saharan States
SRCCL,1,CFS,Committee on World Food Security
SRCCL,1,CGIAR-,Consultative Group on International Agricultural Research
SRCCL,2,CGRA,Coordinated Global and Regional Assessment
SRCCL,5,CH4,Methane
SRCCL,3,CHP,Combined Heat and Power
SRCCL,1,CHIRPS,Climate Hazards Group Infrared Precipitation with Station
SRCCL,1,CHMI,Czech Hydrometeorological Institute
SRCCL,2,CI,Confidence Interval
SRCCL,1,CIAT,International Centre for Tropical Agriculture
SRCCL,1,CIPHET,Central Institute of Post-Harvest Engineering and Technology
SRCCL,1,CIREN,Centro de Información de Recursos Naturales
SRCCL,2,CM,Cultured Meat
SRCCL,1,CMIE,Centre of Monitoring the Indian Economy
SRCCL,6,CMIP5,Coupled Model Intercomparison Project Phase 5
SRCCL,7,CMIP6,Coupled Model Intercomparison Project Phase 6
SRCCL,4,CO,Carbon monoxide
SRCCL,5,CO2,Carbon dioxide
SRCCL,2,CO2e,Carbon dioxide equivalent
SRCCL,2,CO2eq,Carbon dioxide equivalent
SRCCL,6,COP,Conference of the Parties
SRCCL,2,CRCM,Canadian Regional Climate Model
SRCCL,2,CRISPR,Clustered Regularly Interspaced Short Palindromic Repeats
SRCCL,1,CRP,Conservation Reserve Program
SRCCL,3,CRU,Climatic Research Unit of the University of East Anglia
SRCCL,2,CRUTEM,Dataset of the Climatic Research Unit of the University of East Anglia
SRCCL,1,CRV,Climate Resilient Villages
SRCCL,3,CSA,Climate Smart Agriculture
SRCCL,1,CSO,Civil Society Organisation
SRCCL,1,CSV,Climate Smart Village
SRCCL,4,DALY,Disability-Adjusted Life-Year
SRCCL,1,DERM,"Department of Environment and Resource Management, India"
SRCCL,1,DESIRE,Desertification Mitigation and Remediation of Land
SRCCL,3,DGVM,Dynamic Global Vegetation Model
SRCCL,4,DJF,December-January-February
SRCCL,1,DMP,Dust Mass Path
SRCCL,5,DRM,Disaster Risk Management
SRCCL,1,DOD,Dust Optical Depth
SRCCL,2,DRR,Disaster Risk Reduction
SRCCL,5,EBA,Ecosystem Based Adaptation
SRCCL,3,EC,Elemental Carbon or European Commission
SRCCL,1,ECA,European Court of Auditors
SRCCL,3,EDGAR,Emissions Database for Global Atmospheric Research
SRCCL,4,EEA,European Environment Agency
SRCCL,2,EF,Emission Factor
SRCCL,1,EFSA,European Food Safety Authority
SRCCL,1,EFT,Ecological Fiscal Transfer
SRCCL,1,ELD,Economics of Land Degradation or Economics of Land Degradation Initiative
SRCCL,1,EM-DAT,International Disaster Database
SRCCL,5,ENSO,El Niño/Southern Oscillation
SRCCL,3,EPA,UN Environmental Protection Agency
SRCCL,3,ES,Ecosystem Service
SRCCL,6,ESM,Earth System Models
SRCCL,5,ESL,Extreme Sea Level
SRCCL,3,ETS,Emissions Trading Scheme
SRCCL,5,EU,European Union
SRCCL,2,EU-RED,European Union Renewable Energy Directive
SRCCL,1,EVI,Enhanced Vegetation Index
SRCCL,1,EW/EA,Early Warning and Early Action
SRCCL,4,EWS,Early Warning Systems
SRCCL,2,FACE,Free-Air Carbon dioxide Enrichment
SRCCL,5,FAO,United Nations Food and Agricultural Organisation
SRCCL,1,FAO-FRA,FAO Global Forest Resources Assessment
SRCCL,2,FAOSTAT,FAO Database
SRCCL,4,FAQ,Frequently Asked Questions
SRCCL,3,Fe,Iron
SRCCL,2,FF,Fossil Fuel
SRCCL,1,FIES,Food Insecurity Experience Scale
SRCCL,1,fNRB,fraction of Non-Renewable Biomass
SRCCL,1,FRA,Forest Rights Act (India)
SRCCL,3,FSC,Forest Stewardship Council
SRCCL,2,FWL,Food Waste and Loss
SRCCL,2,GATT,General Agreement on Tariffs and Trade
SRCCL,1,GBEP,Global Bioenergy Partnership
SRCCL,3,GCF,Green Climate Fund
SRCCL,5,GCM,Global Climate Model or General Circulation Model
SRCCL,4,GCP,Global Carbon Project
SRCCL,1,GDEWS,Global Drought Early Warning System
SRCCL,7,GDP,Gross Domestic Product
SRCCL,2,GE,Government Effectiveness or General Equilibrium
SRCCL,3,GEF,Global Environmental Facility
SRCCL,2,GFCS,Global Framework for Climate Services
SRCCL,2,GFED,Global Fire Emissions Database
SRCCL,1,GFGP,Conversion of Cropland to Forests and Grasslands Program (Grain for Green Programme)
SRCCL,1,GGCM,Global Gridded Crop Models
SRCCL,3,Gha,Gigahectares
SRCCL,2,GHCN,Global Historical Climatology Network
SRCCL,6,GHG,Greenhouse Gas
SRCCL,1,GHGE,Greenhouse Gas Emissions
SRCCL,1,GHGI,Greenhouse Gas Inventory
SRCCL,1,GIAHS,Globally Important Agricultural Heritage Site
SRCCL,1,GIEWS,FAO Global Information and Early Warning System
SRCCL,1,GIMMS3g,Global Inventory Modelling and Mapping Studies
SRCCL,3,GISTEMP,Goddard's Global Surface Temperature Analysis
SRCCL,2,GIZ,German Society for International Cooperation
SRCCL,3,GJ,Gigajoules
SRCCL,1,GLASOD,Global Assessment of Human-Induced Soil Degradation
SRCCL,1,GLASS,Global Land Atmosphere System Study
SRCCL,2,GLOBIOM,GLObal BIOsphere Management model
SRCCL,3,GLOF,Glacial Lake Outburst Floods
SRCCL,1,GLOMAP,Global Model of Aerosol Processes
SRCCL,4,GM,Genetically Modified
SRCCL,2,GMO,Genetically Modified Organism
SRCCL,5,GMSL,Global Mean Sea Level
SRCCL,5,GMST,Global Mean Surface Temperature
SRCCL,3,GMT,Global Mean Temperature
SRCCL,1,GNR,Global Nutrition Report
SRCCL,5,GPP,Gross Primary Productivity/Gross Primary Production
SRCCL,6,GWP,Global Warming Potential
SRCCL,2,Ha,Hectares
SRCCL,2,H2,Hydrogen
SRCCL,2,HadCM3,"Hadley Centre Coupled Model, version 3"
SRCCL,1,HANPP,Human Appropriation of Net Primary Production
SRCCL,2,HAPPI,"Half a degree Additional warming, Projections, Prognosis and Impacts"
SRCCL,3,HDI,Human Development Index
SRCCL,1,HEI,Healthcare Environment Inspectorate
SRCCL,1,HHP,High Hydrostatic Pressure
SRCCL,3,HKH,Hindu-Kush Himalayan
SRCCL,2,HLPE,High Level Panel of Experts
SRCCL,2,HYDE,History Database of the Global Environment
SRCCL,4,IAM,Integrated Assessment Model
SRCCL,1,ICARDA,International Center for Agriculture Research in the Dry Areas
SRCCL,1,ICCC,International Conference on Climate Change
SRCCL,1,ICOS,Integrated Carbon Observation System
SRCCL,1,ICPAC,IGAD Climate Prediction and Applications Centre
SRCCL,2,ICSU,International Council for Science
SRCCL,4,ICT,Information and Communication Technology
SRCCL,1,ICTP,International Centre for Theoretical Physics
SRCCL,5,IEA,International Energy Agency
SRCCL,2,IFAD,International Fund for Agricultural Development
SRCCL,3,IFPRI,International Food Policy Research Institute
SRCCL,1,IGAD,Intergovernmental Authority on Development
SRCCL,2,IHME,Institute for Health Metrics and Evaluation
SRCCL,3,IK,Indigenous Knowledge
SRCCL,1,ILK,Indigenous and Local Knowledge
SRCCL,3,iLUC,indirect Land Use Change
SRCCL,2,IMAGE,Integrated Model to Assess Global Environment
SRCCL,3,INDC,Intended Nationally Determined Contribution
SRCCL,1,INPE,Instituto Nacional de Pesquisas Espaciais (National Institute for Space Research)
SRCCL,4,IOD,Indian Ocean Dipole
SRCCL,5,IPBES,Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services
SRCCL,6,IPCC,Intergovernmental Panel on Climate Change
SRCCL,4,IPO,Inter-decadal Pacific Oscillation
SRCCL,2,IQR,Interquartile Range
SRCCL,1,IRD,Integrated Rural Development
SRCCL,1,ISEAL,ISEAL Alliance (International Social and Environmental Accreditation and Labelling Alliance)
SRCCL,3,ISO,International Organization for Standardization
SRCCL,1,ITPS,Intergovernmental Technical Panel on Soils
SRCCL,1,ITRDB,International Tree Ring Data Bank
SRCCL,3,IUCN,International Union for Conservation of Nature
SRCCL,1,IWAI,Inland Waterways Authority of India
SRCCL,1,IWM,Integrated Watershed Management
SRCCL,4,JJA,June-July-August
SRCCL,1,K,Potassium
SRCCL,2,km,Kilometres
SRCCL,2,kt,Kilotonnes
SRCCL,4,kWh,Kilowatt hours
SRCCL,2,L,Litres
SRCCL,1,LADA,Land Degradation Assessment in Drylands
SRCCL,3,LAI,Leaf Area Index
SRCCL,1,LAPA,Local Adaptation Plan of Action
SRCCL,2,LCA,Lifecycle Analysis/Life-Cycle Assessment
SRCCL,2,LCC,Land-Cover Conversions
SRCCL,1,LCCS,Land Cover Classification System
SRCCL,4,LDC,Least Developed Countries
SRCCL,3,LDN,Land Degradation Neutrality
SRCCL,3,LED,Low Energy Demand
SRCCL,1,LGP,Length of Growing Period
SRCCL,1,LiDAR,Light Detection and Ranging
SRCCL,1,LIMCOM,Limpopo Watercourse Commission
SRCCL,4,LK,Local Knowledge
SRCCL,1,LM,Land Management
SRCCL,1,LMIC,Low- and Middle-Income Country
SRCCL,3,LPG,Liquified Petroleum Gas
SRCCL,2,LSAT,Land Surface Air Temperature
SRCCL,2,LSLA,Large-Scale Land Acquisition
SRCCL,1,LTKA,Local and Traditional Knowledge in Agriculture
SRCCL,5,LUC,Land Use Change
SRCCL,1,LUH2,Harmonised Land Use Change Data
SRCCL,1,LULCC,Land Use Land Cover Change
SRCCL,6,LULUCF,"Land Use, Land Use Change and Forestry"
SRCCL,3,MA,Millennium Ecosystem Assessment
SRCCL,3,MAC,Marginal Abatement Cost
SRCCL,2,MACC,Marginal Abatement Cost Curve
SRCCL,2,MAgPIE,Model of Agricultural Production and its Impact on the Environment
SRCCL,3,MAM,March-April-May
SRCCL,2,MAR,Managed Aquifer Recharge
SRCCL,1,MCF,Methyl Chloroform
SRCCL,2,MCS,Mesoscale Convective Systems
SRCCL,4,MEA,Millennium Ecosystem Assessment
SRCCL,4,MED,Middle Eastern Dust Storms
SRCCL,1,MERIS,Medium Resolution Imaging Spectrometer
SRCCL,2,MESSAGE,Model for Energy Supply Systems And their General Environmental impact
SRCCL,1,MFS,Microfinance Services
SRCCL,3,Mha,Megahectare
SRCCL,1,MIRWH,Mechanized Micro Rainwater Harvesting
SRCCL,3,MJ,Megajoules
SRCCL,1,MND,Micro Nutrient Deficiency
SRCCL,3,MODIS,Moderate Resolution Imaging Spectroradiometer
SRCCL,1,MOFPI,Ministry of Food Processing Industries
SRCCL,5,MRV,"Monitoring, Reporting and Verification"
SRCCL,1,MSA,Mean Species Abundance
SRCCL,3,Mt,Megatonnes
SRCCL,1,MTOE,Million Tonnes of Oil Equivalent
SRCCL,2,N,Nitrogen
SRCCL,5,N2O,Nitrous Oxide
SRCCL,2,NAMA,Nationally Appropriate Mitigation Action
SRCCL,5,NAP,National Adaptation Plan
SRCCL,2,NAPA,National Adaptation Program of Action
SRCCL,1,NARC,Nepal Agricultural Research Council
SRCCL,1,NASA/GISS,US National Aeronautics and Space Administration
SRCCL,3,NBS,Nature Based Solutions
SRCCL,2,NCE,New Climate Economy
SRCCL,2,NCD,Non-Communicable Diseases
SRCCL,3,NCP,Nature's Contributions to People
SRCCL,6,NDC,Nationally Determined Contribution
SRCCL,3,NDVI,Normalised Difference Vegetation Index
SRCCL,1,NENA,Near East and North Africa
SRCCL,1,NEON,National Science Foundation's National Ecological Observatory Network
SRCCL,2,NEP,National Energy Programme
SRCCL,1,NET,Negative Emission Technology
SRCCL,1,NFPP,National Forest Protection Program
SRCCL,5,NGO,Non-Governmental Organisation
SRCCL,3,NH3,Ammonia
SRCCL,1,NIAB,National Institute of Agricultural Botany
SRCCL,5,NOAA,US National Oceanic and Atmospheric Administration
SRCCL,1,NOAA AVHRR,US National Oceanic and Atmospheric Administration Advanced Very High Resolution Radiometer
SRCCL,1,NOAA ESRL,US National Oceanic and Atmospheric Administration Earth System Research Laboratory
SRCCL,5,NPP,Net Primary Production/Net Primary Productivity
SRCCL,3,NPV,Net Present Value
SRCCL,2,NRC,National Research Council
SRCCL,1,NRDC,Natural Resources Defence Council
SRCCL,1,NTFP,Non-Timber Forest Product
SRCCL,1,NUS,Neglected and Underutilised Species
SRCCL,2,O2,Oxygen
SRCCL,3,O3,Ozone
SRCCL,3,OC,Organic Carbon
SRCCL,5,OECD,Organisation for Economic Co-operation and Development
SRCCL,2,OH,Hydroxyl Radical
SRCCL,2,ORCHIDEE,Organising Carbon and Hydrology In Dynamic Ecosystems
SRCCL,2,OSS,Sahara and Sahel Observatory
SRCCL,2,P,Precipitation or Phosphorus
SRCCL,1,PAF,Pilot Auction Facility
SRCCL,1,PAGGW,Pan-African Agency of the Great Green Wall
SRCCL,1,PAH,Polycyclic Aromatic Hydrocarbon
SRCCL,1,PAYT,Pay As You Throw
SRCCL,1,PBAP,Primary Biological Aerosol Particles
SRCCL,1,PCP,Precipitation
SRCCL,2,PCRAFI,Pacific Catastrophe Risk Assessment and Financing Initiative
SRCCL,3,PEFC,Programme for the Endorsement of Forest Certification
SRCCL,3,PES,Payment for Environmental Services/Payment for Ecosystem Services
SRCCL,3,PET,Potential Evapotranspiration
SRCCL,1,PHL,Post Harvest Losses
SRCCL,1,PICS,Purdue Improved Crop Storage
SRCCL,5,PM,Particulate Matter
SRCCL,3,PM2.5,Particulate matter with size less than 2.5 µm
SRCCL,1,PoU,Prevalence of Undernourishment
SRCCL,2,PPA,Power Purchase Agreements
SRCCL,1,PPCDAm,Interministerial Plan of Action for Prevention and Control of Deforestation of the Legal Amazon
SRCCL,2,PPI,Plant Phenology Index
SRCCL,1,PRIMAP,Potsdam Real-time Integrated Model for the probabilistic Assessment of emission Paths
SRCCL,1,RAP,Representative Agricultural Pathways
SRCCL,6,RCM,Regional Climate Models
SRCCL,5,RCP,Representative Concentration Pathway
SRCCL,2,REDD,Reducing Emissions from Deforestation and Degradation
SRCCL,3,REDD+,"Reducing Emissions from Deforestation and Degradation and the role of conservation, sustainable management of forests and enhancement of forest carbon stocks in developing countries"
SRCCL,2,RegCM,Regional Climate Model
SRCCL,2,REMIND,REgional Model of INvestments and Development
SRCCL,2,REN21,Renewable Energy Policy Network for the 21st Century
SRCCL,3,RF,Radiative Forcing
SRCCL,1,RESTREND,Residual Trends
SRCCL,1,RIL,Reduced Impact Logging
SRCCL,1,ROSCA,Rotating Saving and Credit Association
SRCCL,1,RPDS,Research Program on Dryland Systems
SRCCL,1,RUE,Rain Use Efficiency
SRCCL,1,RUSLE,Revised Universal Soil Loss Equation
SRCCL,1,RVI,Reconstructed Vegetation Index
SRCCL,1,RWH,Rainwater Harvesting
SRCCL,2,RX1day,Annual Maximum 1-day Precipitation
SRCCL,3,SAH,Sahara
SRCCL,4,SAS,South Asia
SRCCL,3,SAT,Surface Air Temperature
SRCCL,4,SCC,Social Cost of Carbon
SRCCL,4,SD,Standard Deviation or Sustainable Development
SRCCL,5,SDG,Sustainable Development Goal
SRCCL,1,SDS-WAS,Sand and Dust Storm Warning Advisory and Assessment System
SRCCL,1,SERFOR,National Forest Service and Wildlife Authority
SRCCL,3,SES,Socio-Ecological Systems
SRCCL,2,SFM,Sustainable Forest Management
SRCCL,1,SFSC,Shortening Food Supply Chain
SRCCL,3,SI,Sustainable Intensification
SRCCL,1,SIB,State Investment Bank
SRCCL,1,SICAR,National Land Registry System
SRCCL,7,SIDS,Small Island Developing States
SRCCL,6,SLCF,Short-Lived Climate Forcer
SRCCL,2,SLCP,Short Lived Climate Pollutant
SRCCL,3,SLM,Sustainable Land Management
SRCCL,4,SM,Supplementary Materials
SRCCL,4,SO2,Sulfur dioxide
SRCCL,2,SOA,Secondary Organic Aerosols
SRCCL,2,SOC,Soil Organic Carbon
SRCCL,1,SOFI,The State of Food Security and Nutrition in the World
SRCCL,2,SOM,Soil Organic Matter
SRCCL,3,SON,September-October-November
SRCCL,1,SPOT VGT,Satellite Pour l'Observation de la Terre Vegetation (Satellite for the Observation of the Earth Vegetation)
SRCCL,2,SR15,IPCC Special Report on Global Warming of 1.5°C
SRCCL,7,SRCCL,IPCC Special Report on Climate Change and Land
SRCCL,5,SRES,IPCC Special Report on Emission Scenarios
SRCCL,4,SREX,IPCC Special Report on Managing the Risks of Extreme Events and Disasters to Advance Climate Change Adaptation
SRCCL,1,SR-LULUCF,"IPCC Special Report on Land Use, Land-Use Change and Forestry"
SRCCL,7,SROCC,IPCC Special Report on the Ocean Cryosphere and Climate Change
SRCCL,5,SSP,Shared Socio-economic Pathways
SRCCL,1,SSSA,Soil Science Society of America
SRCCL,5,SST,Sea Surface Temperature
SRCCL,2,SWAT,Soil and Water Assessment Tool
SRCCL,1,SWC,Soil and Water Conservation
SRCCL,3,SYR,IPCC Synthesis Report
SRCCL,3,t,Tonnes
SRCCL,3,TCR,Transient Climate Response
SRCCL,2,TEEB,The Economics of Ecosystems and Biodiversity
SRCCL,3,Tg,Teragrams
SRCCL,4,TS,Technical Summary
SRCCL,1,TSS,Time Series Segmentation
SRCCL,1,UGI,Urban Green Infrastructure
SRCCL,5,UHI,Urban Heat Island
SRCCL,2,UNCBD,United Nations Convention on Biodiversity
SRCCL,3,UNCCD,United Nations Convention to Combat Desertification
SRCCL,1,UNCED,United Nations Conference on Environment and Development
SRCCL,1,UNCTAD,United Nations Conference on Trade and Development
SRCCL,4,UNDP,United Nations Development Programme
SRCCL,1,UN-EMG,UN Environment Management Group
SRCCL,6,UNEP,United Nations Environment Programme
SRCCL,1,UNEP-GEF,UN Environment Global Environment Facility
SRCCL,7,UNFCCC,United Nations Framework Convention on Climate Change
SRCCL,3,UNICEF,United Nations Children's Fund
SRCCL,2,UNISDR,UN Sendai Framework for Disaster Risk Reduction
SRCCL,1,UN-REDD,United Nations Collaborative Programme on Reducing Emissions from Deforestation and Forest Degradation in Developing Countries
SRCCL,1,UPAF,Urban and Peri-urban Agriculture and Forestry
SRCCL,2,USAID,United States Agency for International Development
SRCCL,5,USD,United States Dollars
SRCCL,1,USDA,United States Department of Agriculture
SRCCL,1,USEPA,United States Environmental Protection Agency
SRCCL,1,UTFI,Underground Taming of Floods for Irrigation
SRCCL,4,UV,Ultraviolet
SRCCL,1,VGGT,"Voluntary Guidelines on the Responsible Governance of Tenure of Land, Fisheries and Forests in the Context of National Food Security"
SRCCL,3,VOC,Volatile Organic Compound
SRCCL,2,VOD,Vegetation Optical Depth
SRCCL,2,w/,With
SRCCL,2,w/o,Without
SRCCL,3,W,Watts
SRCCL,3,WAF,West Africa
SRCCL,1,WaTEM/SEDEM,Spatially distributed sediment delivery model combining the WaTEM and SEDEM models
SRCCL,1,WBA,World Bioenergy Association
SRCCL,3,WBCSD,World Business Council for Sustainable Development
SRCCL,2,WEC,World Energy Council
SRCCL,3,WEF,World Economic Forum
SRCCL,3,WEO,World Energy Outlook
SRCCL,1,WEPP,Water Erosion Prediction Project
SRCCL,1,WET,Wetland Extent Trends
SRCCL,3,WFP,World Food Programme
SRCCL,5,WGI,IPCC Working Group I
SRCCL,5,WGII,IPCC Working Group II
SRCCL,4,WGIII,IPCC Working Group III
SRCCL,6,WHO,World Health Organisation
SRCCL,5,WMO,World Meteorological Organisation
SRCCL,1,WOCAT,World Overview of Conservation Approaches and Technologies
SRCCL,1,WRI,World Resources Institute
SRCCL,1,WSOA,Water Soluble Organic Compounds
SRCCL,3,WTO,World Trade Organisation
SRCCL,3,WUE,Water Use Efficiency
SRCCL,2,yr,Year
SRCCL,1,ZNLD,Zero Net Land Degradation
SROCC,1,a.s.l.,Above Sea Level
SROCC,2,AABW,Antarctic Bottom Water
SROCC,2,ABNJ,Areas Beyond National Jurisdiction
SROCC,3,AC,Arctic Council
SROCC,2,ACC,Antarctic Circumpolar Current
SROCC,1,AEWC,Alaska Eskimo Whaling Commission
SROCC,2,AIS,Antarctic Ice Sheet
SROCC,3,ALT,Active-Layer Thickness
SROCC,4,AMO,Atlantic Multidecadal Oscillation
SROCC,4,AMOC,Atlantic Meridional Overturning Circulation
SROCC,2,AMV,Atlantic Multidecadal Variability
SROCC,3,AOGCM,Atmosphere-Ocean General Circulation Model
SROCC,2,AP,Antarctic Peninsula
SROCC,5,AR4,IPCC 4th Assessment Report
SROCC,7,AR5,IPCC 5th Assessment Report
SROCC,6,AR6,IPCC 6th Assessment Report
SROCC,3,ASE,Amundsen Sea Embayment
SROCC,2,ASF,Animal Sourced Food
SROCC,1,ATS,Antarctic Treaty System
SROCC,6,BC,Black Carbon
SROCC,7,BECCS,Bioenergy with Carbon Capture and Storage
SROCC,1,CAO,Central Arctic Ocean
SROCC,6,CbA,Community-based Adaptation
SROCC,5,CBD,Convention on Biological Diversity
SROCC,1,CBM,Community-based Monitoring
SROCC,1,CCAMLR,Convention for the Conservation of Antarctic Marine Living Resources
SROCC,7,CDR,Carbon Dioxide Removal
SROCC,2,CFC,Chlorofluorocarbons
SROCC,3,CMIP,Coupled Model Intercomparison Project
SROCC,4,CMIP3,Coupled Model Intercomparison Project Phase 3
SROCC,6,CMIP5,Coupled Model Intercomparison Project Phase 5
SROCC,7,CMIP6,Coupled Model Intercomparison Project Phase 6
SROCC,6,COP,Conference of Parties
SROCC,1,CoSMoS,Coastal Storm Modeling System
SROCC,1,COWCLIP,Coordinated Ocean Wave Climate Project
SROCC,1,CPR,Continuous Plankton Recorder
SROCC,2,CRDP,Climate-Resilient Development Pathway
SROCC,1,DDT,Dichlorodiphenyl-trichloroethane
SROCC,2,DHW,Degree Heating Week
SROCC,2,DIC,Dissolved Inorganic Carbon
SROCC,4,DJF,"December, January, February"
SROCC,1,DO,Dissolved Oxygen
SROCC,2,DOC,Dissolved Organic Carbon
SROCC,5,DRM,Disaster Risk Management
SROCC,1,DSL,Deep Scattering Layers
SROCC,2,EAD,Expected Annual Damages
SROCC,4,EAIS,East Antarctic Ice Sheet
SROCC,5,EbA,Ecosystem-based Adaptation
SROCC,3,EBUS,Eastern Boundary Upwelling System
SROCC,3,ECMWF,European Centre for Medium-Range Weather Forecasts
SROCC,1,ECP,Extended Concentration Pathway
SROCC,2,EDW,Elevation Dependent Warming
SROCC,2,EEZ,Exclusive Economic Zone
SROCC,5,ENSO,El Niño-Southern Oscillation
SROCC,3,ESA CCI,European Space Agency Climate Change Initiative
SROCC,5,ESL,Extreme Sea Level
SROCC,6,ESM,Earth System Model
SROCC,3,ETC,Extratropical Cyclone
SROCC,4,EWS,Early Warning System
SROCC,1,FISHMIP,Fisheries and Marine Ecosystems Impact Model Intercomparison Project
SROCC,1,GACS,Global Alliance of Continuous Plankton Recorder Surveys
SROCC,5,GCM,General Circulation Model/Global Climate Model
SROCC,7,GDP,Gross Domestic Product
SROCC,1,GGR,Greenhouse Gas Removal
SROCC,6,GHG,Greenhouse Gas
SROCC,2,GIA,Glacio-Isostatic Adjustment
SROCC,4,GIS,Greenland Ice Sheet
SROCC,3,GLOF,Glacial Lake Outburst Flood
SROCC,5,GMSL,Global Mean Sea Level
SROCC,5,GMST,Global Mean Surface Temperature
SROCC,1,GPD,Generalised Pareto Distribution
SROCC,2,GPG,Good Practice Guidance
SROCC,5,GPP,Gross Primary Production
SROCC,2,GPS,Global Positioning System
SROCC,3,GRACE,Gravity Recovery and Climate Experiment
